EpThisIter,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,entropy,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,optimgain,meankl
21,15421,0.0,771050,-6.7683065559988425,-3.72959,50.0,354.2485466003418,0.9711648505181074,0.043528676,0.043528676,0.010395602
20,15441,0.0,772050,-5.427006312474451,-3.7312398,50.0,354.7024154663086,0.9580219015479088,0.03739431,0.03739431,0.010898507
21,15462,0.0,773100,-5.231540682916716,-3.731269,50.0,355.1620888710022,0.9621066451072693,0.032449536,0.032449536,0.009903916
20,15482,0.0,774100,-5.495482841634027,-3.7358096,50.0,355.62152338027954,0.970893744379282,0.028950866,0.028950866,0.010838946
21,15503,0.0,775150,-4.722198258973921,-3.7381573,50.0,356.0855338573456,0.9559197761118412,0.04507068,0.04507068,0.009855645
20,15523,0.0,776150,-5.063813338804012,-3.7430744,50.0,356.5420870780945,0.9717207364737988,0.036106415,0.036106415,0.010707667
21,15544,0.0,777200,-5.585350451784056,-3.744047,50.0,356.99935364723206,0.9766707383096218,0.03172152,0.03172152,0.010026658
20,15564,0.0,778200,-5.213874706042018,-3.7440493,50.0,357.4557960033417,0.9640836305916309,0.03530688,0.03530688,0.0101952255
21,15585,0.0,779250,-4.901656821346018,-3.7437806,50.0,357.90717363357544,0.9547106698155403,0.040210437,0.040210437,0.010338416
20,15605,0.0,780250,-5.664026248100082,-3.7450871,50.0,358.36098313331604,0.9296426624059677,0.03389012,0.03389012,0.012408435
21,15626,0.0,781300,-5.839752540050234,-3.7491074,50.0,358.8086519241333,0.959165420383215,0.03480224,0.03480224,0.010952905
20,15646,0.0,782300,-4.769426442593451,-3.750854,50.0,359.2596459388733,0.9684034921228886,0.04149239,0.04149239,0.010849252
21,15667,0.0,783350,-4.635271463116672,-3.7511578,50.0,359.7093734741211,0.9751018267124891,0.031459056,0.031459056,0.0105418805
20,15687,0.0,784350,-5.451139300545542,-3.7529974,50.0,360.1691198348999,0.9756952151656151,0.03424633,0.03424633,0.010073934
21,15708,0.0,785400,-5.340667221079265,-3.7501507,50.0,360.62187695503235,0.9626477286219597,0.042365618,0.042365618,0.009855482
