policy_entropy,eprewmean,clipfrac,fps,time_elapsed,eplenmean,nupdates,value_loss,approxkl,serial_timesteps,explained_variance,total_timesteps,policy_loss
1.2300719,3.26,0.06225586,919,132.55979323387146,248.75,112,0.038936503,0.001260426,14336,0.5702042877674103,114688,-0.007499253
1.2177193,3.33,0.114990234,919,133.6734800338745,251.15,113,0.032556023,0.002099802,14464,0.6332386434078217,115712,-0.0066747023
1.2205813,3.4,0.092041016,892,134.82071232795715,252.25,114,0.036771487,0.0019353915,14592,0.6843070983886719,116736,-0.0023572
1.1974195,3.39,0.1965332,927,135.9257218837738,251.6,115,0.02067609,0.0027311135,14720,0.8380560129880905,117760,-0.008510163
1.2010019,3.39,0.09082031,901,137.06208896636963,251.55,116,0.02524513,0.0018159901,14848,0.7893604934215546,118784,-0.0063845944
1.2066638,3.59,0.20654297,918,138.18272304534912,258.34,117,0.036712684,0.0032598465,14976,0.6828189492225647,119808,-0.008459781
1.2038945,3.62,0.1472168,935,139.27827763557434,259.41,118,0.026353518,0.0028595068,15104,0.7601915299892426,120832,-0.006845063
1.1872958,3.67,0.12133789,903,140.41180801391602,261.17,119,0.02566386,0.002079023,15232,0.8017041981220245,121856,-0.0072669853
1.167605,3.65,0.15405273,892,141.55939412117004,258.58,120,0.021477738,0.003102081,15360,0.8642425090074539,122880,-0.005873806
1.1887039,3.7,0.115234375,888,142.71181511878967,260.61,121,0.0416018,0.0020787371,15488,0.5874086916446686,123904,-0.005846929
1.1795485,3.64,0.1237793,957,143.7815568447113,259.19,122,0.023062093,0.002161248,15616,0.7995575070381165,124928,-0.0040441793
1.1897572,3.85,0.118652344,898,144.92163276672363,264.85,123,0.029643914,0.002173037,15744,0.7239254415035248,125952,-0.009123984
1.1703821,3.88,0.10083008,914,146.04192352294922,265.87,124,0.023181135,0.0019584387,15872,0.7220473289489746,126976,-0.0042800703
1.1600642,3.93,0.11987305,862,147.2294499874115,263.13,125,0.019119378,0.0021046842,16000,0.8473131954669952,128000,-0.005227569
1.1612105,3.95,0.14477539,881,148.39699530601501,263.69,126,0.042358574,0.002810855,16128,0.5718735158443451,129024,-0.004210688
1.1776139,3.96,0.13183594,908,149.5241575241089,263.74,127,0.025576806,0.0024104621,16256,0.7648747861385345,130048,-0.0040496336
1.1395994,3.92,0.095458984,882,150.68537855148315,262.55,128,0.022489449,0.0019374383,16384,0.8309977352619171,131072,-0.007487607
1.1728729,3.86,0.12011719,919,151.7988121509552,259.3,129,0.030024147,0.002619204,16512,0.7818417400121689,132096,-0.006414515
1.1757839,3.9,0.15625,945,152.88253951072693,260.98,130,0.024883738,0.0027009828,16640,0.7974532544612885,133120,-0.008569285
1.1719539,3.9,0.109375,891,154.0321385860443,262.44,131,0.03165033,0.0020309612,16768,0.7025052309036255,134144,-0.006874237
1.1927816,4.02,0.14575195,879,155.19731211662292,265.57,132,0.03360403,0.0023323805,16896,0.6832611858844757,135168,-0.009218802
1.1681769,4.04,0.13989258,906,156.3274850845337,265.24,133,0.034121204,0.0023155028,17024,0.6514907479286194,136192,-0.0052013425
1.1635948,4.04,0.15209961,899,157.46649718284607,264.31,134,0.028155822,0.0025138694,17152,0.7807626277208328,137216,-0.005898145
1.152943,4.04,0.08081055,917,158.58341646194458,264.21,135,0.023377635,0.0018925363,17280,0.7670996487140656,138240,-0.008111292
1.1517415,4.01,0.11352539,839,159.80377769470215,265.07,136,0.019236492,0.0020479853,17408,0.8475850522518158,139264,-0.0069224583
1.1522536,3.96,0.15063477,883,160.96341037750244,262.48,137,0.025613058,0.0027917246,17536,0.7134032845497131,140288,-0.007954093
1.1675274,3.95,0.08154297,928,162.0668568611145,263.24,138,0.03616873,0.0016233716,17664,0.6535151302814484,141312,-0.005906015
1.1487834,4.04,0.14819336,869,163.2453851699829,265.94,139,0.031291746,0.0029836851,17792,0.714100569486618,142336,-0.00913757
1.1453727,4.04,0.107666016,864,164.43022918701172,265.52,140,0.026892075,0.0021119143,17920,0.7776348143815994,143360,-0.004105759
1.1276196,4.01,0.091796875,915,165.54948377609253,264.93,141,0.028491851,0.0018441984,18048,0.772160142660141,144384,-0.007751425
1.1362858,4.15,0.10986328,862,166.7373902797699,269.11,142,0.028674753,0.0022182255,18176,0.7465808093547821,145408,-0.007051684
1.1402813,4.27,0.13427734,902,167.87183618545532,271.64,143,0.022010168,0.0026101507,18304,0.8347927182912827,146432,-0.0081684645
1.1275188,4.22,0.111572266,920,168.99020409584045,269.72,144,0.02563164,0.0020703077,18432,0.7796763479709625,147456,-0.006878528
1.1132338,4.29,0.11791992,905,170.1215808391571,271.34,145,0.01825161,0.0021727902,18560,0.8409053385257721,148480,-0.008789717
1.1284004,4.38,0.123535156,903,171.2547197341919,275.61,146,0.042239,0.002138496,18688,0.6996278166770935,149504,-0.006679475
1.1284239,4.48,0.12084961,587,172.99850177764893,278.17,147,0.03957802,0.0023655049,18816,0.6480995714664459,150528,-0.009061517
1.1384187,4.48,0.11328125,890,174.14895367622375,276.23,148,0.03394251,0.0022553902,18944,0.6758727133274078,151552,-0.007988999
1.149145,4.36,0.17260742,894,175.29383540153503,272.34,149,0.02868071,0.0031393787,19072,0.7091045379638672,152576,-0.005992623
1.1605985,4.39,0.12011719,918,176.40859532356262,275.24,150,0.03111423,0.0021282488,19200,0.7047843337059021,153600,-0.0064803
1.1489775,4.36,0.0949707,904,177.5409505367279,275.23,151,0.028586537,0.0017797404,19328,0.7438726425170898,154624,-0.007747175
1.1255774,4.55,0.11401367,906,178.67057037353516,279.52,152,0.029670777,0.0019889711,19456,0.7043942809104919,155648,-0.0065291086
1.0957855,4.61,0.095458984,907,179.79943108558655,282.19,153,0.027041484,0.0017838294,19584,0.7490497529506683,156672,-0.0073387325
1.1002073,4.61,0.08081055,967,180.8580892086029,282.19,154,0.041030083,0.0014951366,19712,0.6326636672019958,157696,-0.0035806126
