time_elapsed,approxkl,fps,nupdates,clipfrac,total_timesteps,explained_variance,serial_timesteps,eplenmean,eprewmean,policy_entropy,value_loss,policy_loss
129.29677891731262,0.015055107,1508,92,0.18720703,188416,0.9008888825774193,188416,50.0,-11.123427290000002,-1.6201065,0.00014880624,-0.011132259
130.64872765541077,0.015301434,1515,93,0.1895996,190464,0.9272322058677673,190464,50.0,-11.07679096,-1.6437553,0.00010516388,-0.0077577746
132.0073766708374,0.01607383,1507,94,0.2012207,192512,0.9280972704291344,192512,50.0,-10.85369766,-1.6684927,9.877456e-05,-0.006898868
133.36413860321045,0.020407435,1509,95,0.22958985,194560,0.9091299697756767,194560,50.0,-10.380821760000002,-1.6994442,9.52244e-05,-0.012542102
134.726722240448,0.016179644,1503,96,0.19658203,196608,0.9377904869616032,196608,50.0,-10.597554769999999,-1.7295678,9.805472e-05,-0.0071979077
136.14149069786072,0.015728377,1447,97,0.19672851,198656,0.9139182716608047,198656,50.0,-11.24307434,-1.747415,0.00013468499,-0.004711458
137.82043766975403,0.016948316,1220,98,0.20380859,200704,0.8689130246639252,200704,50.0,-11.136709620000001,-1.7664303,0.00013081385,-0.0077375956
139.38911747932434,0.019326465,1305,99,0.21479492,202752,0.9064853861927986,202752,50.0,-10.3934359,-1.7716728,9.043442e-05,-0.012364143
140.88617300987244,0.015954256,1368,100,0.20244141,204800,0.9244812801480293,204800,50.0,-10.24542831,-1.789745,9.264255e-05,-0.0062580565
142.51911091804504,0.018568346,1254,101,0.20166016,206848,0.8725516498088837,206848,50.0,-10.24488887,-1.8413805,0.00012939426,-0.0086610485
143.9833207130432,0.018405605,1399,102,0.22373047,208896,0.8856641575694084,208896,50.0,-10.30921292,-1.8672415,0.00014943225,-0.007355313
145.51716351509094,0.015977029,1335,103,0.2034668,210944,0.9266820922493935,210944,50.0,-10.117822060000002,-1.8758132,9.3975104e-05,-0.005529819
146.95312523841858,0.017929602,1426,104,0.22275391,212992,0.9055421501398087,212992,50.0,-9.541487590000001,-1.885453,0.00013209708,-0.0036107611
148.31114196777344,0.017752727,1508,105,0.21479492,215040,0.9172850474715233,215040,50.0,-9.394113169999999,-1.910726,9.428881e-05,-0.00847461
149.7041573524475,0.01854181,1470,106,0.21547851,217088,0.898371696472168,217088,50.0,-10.114987500000002,-1.921579,0.000117119416,-0.012187003
151.09554028511047,0.016025154,1472,107,0.18759766,219136,0.8975749686360359,219136,50.0,-10.256476170000001,-1.9349766,0.00013093138,-0.009959605
152.5071280002594,0.01947491,1456,108,0.2232422,221184,0.9112091213464737,221184,50.0,-9.562440689999999,-1.9714487,0.00010600624,-0.0071861157
